% Model:              axi_IRR_silicone_seul_sarah.mph
% Version:            COMSOL 6.0.0.405
% Date:               Feb 14 2023, 13:43
% Dimension:          1
% Nodes:              388
% Expressions:        1
% Description:        Point graph
% Time (s)                Displacement magnitude
37                        0.4799994506823695
37.25                     0.4799994507629696
37.5                      0.47999945084074935
37.75                     0.47999945091570884
38                        0.4799994509921505
38.25                     0.47999945106820013
38.5                      0.47999945114243997
38.75                     0.47999945121492077
39                        0.47999945128569377
39.25                     0.4799994513548098
39.5                      0.47999945142232003
39.75                     0.4799994514882754
40                        0.47999945155272705
40.25                     0.47999945161572577
40.5                      0.47999945167732283
40.75                     0.479999451737569
41                        0.47999945179651554
41.25                     0.4799994518542133
41.5                      0.47999945191071325
41.75                     0.47999945196606664
42                        0.47999945202032424
42.25                     0.4799994520735372
42.5                      0.47999945212575656
42.75                     0.4799994521770334
43                        0.4799994522274184
43.25                     0.479999452276963
43.5                      0.4799994523257179
43.75                     0.4799994523737342
44                        0.4799994524210632
44.25                     0.47999945246775544
44.5                      0.4799994525138623
44.75                     0.4799994525594345
45                        0.47999945260452337
45.25                     0.47999945264917965
45.5                      0.4799994526934547
45.75                     0.4799994527373992
46                        0.47999945278106426
46.25                     0.479999452824501
46.5                      0.47999945286776036
46.75                     0.4799994529108934
47                        0.4799994529529314
47.25                     0.47999945299407293
47.5                      0.4799994530350744
47.75                     0.47999945307598163
48                        0.47999945311684045
48.25                     0.4799994531576966
48.5                      0.4799994531985958
48.75                     0.47999945323958376
49                        0.4799994532807063
49.25                     0.47999945332200916
49.5                      0.47999945336353816
49.75                     0.47999945340533895
50                        0.4799994534474574
50.25                     0.47999945348993917
50.5                      0.4799994535328301
50.75                     0.4799994535761759
51                        0.4799994536200224
51.25                     0.47999945366441527
51.5                      0.47999945370940034
51.75                     0.4799994537550233
52                        0.4799994538013299
52.25                     0.47999945384836606
52.5                      0.4799994538961774
52.75                     0.47999945394480964
53                        0.4799994539943086
53.25                     0.4799994540447201
53.5                      0.4799994540960898
53.75                     0.4799994541484635
54                        0.479999454201887
54.25                     0.47999945425640606
54.5                      0.4799994543120664
54.75                     0.47999945436891384
55                        0.47999945442699393
55.25                     0.4799994544863526
55.5                      0.47999945454703563
55.75                     0.47999945460908877
56                        0.47999945466059335
56.25                     0.479999454695815
56.5                      0.4799994547301669
56.75                     0.4799994547636313
57                        0.4799994547961909
57.25                     0.47999945482782796
57.5                      0.479999454858525
57.75                     0.4799994548882648
58                        0.47999945491702956
58.25                     0.47999945494480184
58.5                      0.47999945497156427
58.75                     0.4799994549972992
59                        0.47999945502198915
59.25                     0.4799994550456166
59.5                      0.47999945506816427
59.75                     0.4799994550896144
60                        0.4799994551099495
60.25                     0.4799994551291522
60.5                      0.47999945514720493
60.75                     0.47999945516409026
61                        0.4799994551797904
61.25                     0.4799994551942882
61.5                      0.47999945520756604
61.75                     0.4799994552196064
62                        0.4799994552303918
62.25                     0.47999945523990467
62.5                      0.4799994552481276
62.75                     0.4799994552550429
63                        0.4799994552606334
63.25                     0.47999945526488125
63.5                      0.4799994552677692
63.75                     0.4799994552692795
64                        0.47999945526939497
64.25                     0.47999945526809784
64.5                      0.4799994552653707
64.75                     0.4799994552611961
65                        0.47999945526584825
65.25                     0.4799994552981334
65.5                      0.47999945533209726
65.75                     0.47999945536780725
66                        0.4799994554053305
66.25                     0.47999945544473466
66.5                      0.4799994554860872
66.75                     0.4799994555294553
67                        0.4799994555749066
67.25                     0.47999945562551766
67.5                      0.4799994556901027
67.75                     0.4799994557595376
68                        0.47947937446108785
68.25                     0.23000007863232275
68.5                      0.12046768711894565
68.75                     0.109128312538941
69                        0.1012751329669835
69.25                     0.09488122671516945
69.5                      0.08940297632487745
69.75                     0.08496907140992653
70                        0.08124603695184374
70.25                     0.07806122855952614
70.5                      0.07527646602343184
70.75                     0.07288785453075786
71                        0.07083450895130691
71.25                     0.06895805766456586
71.5                      0.06730321177829121
71.75                     0.06583191859491323
72                        0.06444498794711956
72.25                     0.06318224338091241
72.5                      0.062019131143837246
72.75                     0.06090638619732509
73                        0.0598535927137449
73.25                     0.05884888869760335
73.5                      0.05789243575611108
73.75                     0.056965246221775366
74                        0.056073137606782085
74.25                     0.05520304417273017
74.5                      0.054359757528337514
74.75                     0.05353725851886344
75                        0.052734572799629134
75.25                     0.051949386394523775
75.5                      0.051179385327436544
75.75                     0.05042663884279046
76                        0.04968798595064974
76.25                     0.048961688582438746
76.5                      0.048246192426011913
76.75                     0.04754166805010723
77                        0.0468466436791614
77.25                     0.046159512163691054
77.5                      0.045479014431046995
77.75                     0.044808803430926115
78                        0.044150235175705224
78.25                     0.043501008729304444
78.5                      0.04286098728487677
78.75                     0.042230009636520224
79                        0.041607905671898454
79.25                     0.04099455123091766
79.5                      0.040389801481486624
79.75                     0.03979366115101871
80                        0.03920645566813977
80.25                     0.03862786627588301
80.5                      0.03805782995318563
80.75                     0.03749628367898478
81                        0.03694316443221766
81.25                     0.03639840919182142
81.5                      0.03586195493673325
81.75                     0.03533373864589029
82                        0.03481233517513539
82.25                     0.034298454331980234
82.5                      0.033792014449652574
82.75                     0.03329288418418039
83                        0.03280093219159166
83.25                     0.032316027127914364
83.5                      0.031838037649176504
83.75                     0.03136683241140604
84                        0.030902077596519445
84.25                     0.03044363283994833
84.5                      0.02999145415073301
84.75                     0.029545397718012664
85                        0.029105319730926442
85.25                     0.028671076378613523
85.5                      0.02824252385021307
85.75                     0.02781951833486426
86                        0.02740257458091541
86.25                     0.026992937436403124
86.5                      0.02658927994400009
86.75                     0.02619154802629126
87                        0.02579968760586157
87.25                     0.025413644605295972
87.5                      0.02503336494717941
87.75                     0.024658794554096822
88                        0.02428987934863316
88.25                     0.02392656525337337
88.5                      0.023568798190902393
88.75                     0.023216524083805177
89                        0.022869534983632072
89.25                     0.022526724103142548
89.5                      0.02218890805222808
89.75                     0.021856004809250137
90                        0.021527932352570205
90.25                     0.021204608660549757
90.5                      0.020885951711550263
90.75                     0.0205718794839332
91                        0.020262309956060046
91.25                     0.019957161106292278
91.5                      0.01965635091299137
91.75                     0.019359797354518798
92                        0.01906741840923604
92.25                     0.018780429823554462
92.5                      0.01849782120898732
92.75                     0.018219486331627923
93                        0.017945367599007885
93.25                     0.017675407418658813
93.5                      0.017409548198112308
93.75                     0.01714773234489998
94                        0.016889902266553434
94.25                     0.01663600037060428
94.5                      0.01638596906458412
94.75                     0.016139750756024564
95                        0.015897287852457212
95.25                     0.015658069735454666
95.5                      0.01542224718996594
95.75                     0.015189859558086133
96                        0.01496083866571587
96.25                     0.014735116338755776
96.5                      0.01451262440310648
96.75                     0.014293294684668612
