<Mach-1 File>
<INFO>
Date:	Wed, Feb 16, 2022
Time:	10:39:16.860
Mach-1 Motion Software Version:	4.4.0.17
Mach-1 System S/N:	MA0561157
Mach-1 System Model:	V500c
Load Cell Name:	250N - SN: 1811864
Load Cell Type:	Single-axis
Load Cell Calibration Factor:	1.000504
Load Cell Offset:	-291.250000
Load Cell Calibration Date:	2022-02-16
Captured Images Folder:	04-p-1_001
<END INFO>
<Move Relative>
Stage Axis:	Position (z)
Amplitude, mm:	-150.0000
Velocity, mm/s:	0.1000
<DATA>
Time, s	Position (z), mm	Fz, gf
0.000000	0.000000	0.000000
0.010000	0.000000	0.000000
0.020000	0.000000	0.000000
0.030000	0.000000	0.000000
0.040000	0.000000	1.250630
0.050000	0.000000	1.250630
0.060000	0.000000	1.250630
0.070000	0.000000	1.250630
0.080000	0.000000	1.250630
0.090000	0.000000	1.250630
0.100000	0.000000	1.250630
0.110000	0.000000	1.250630
0.120000	0.000000	0.000000
0.130000	0.000000	0.000000
0.140000	0.000000	0.000000
0.150000	0.000000	1.250630
0.160000	0.000000	1.250630
0.170000	0.000000	1.250630
0.180000	0.000000	1.250630
0.190000	0.000000	1.250630
0.200000	0.000000	1.250630
0.210000	-1.000000E-4	1.250630
0.220000	-0.001300	0.000000
0.230000	-0.004100	0.000000
0.240000	-0.005100	0.000000
0.250000	-0.006200	0.000000
0.260000	-0.007100	1.250630
0.270000	-0.008400	0.000000
0.280000	-0.009600	0.000000
0.290000	-0.010500	0.000000
0.300000	-0.011200	1.250630
0.310000	-0.012400	1.250630
0.320000	-0.013600	1.250630
0.330000	-0.014500	1.250630
0.340000	-0.015400	1.250630
0.350000	-0.016300	0.000000
0.360000	-0.017400	0.000000
0.370000	-0.018500	0.000000
0.380000	-0.019400	0.000000
0.390000	-0.020300	0.000000
0.400000	-0.021200	0.000000
0.410000	-0.022600	0.000000
0.420000	-0.023500	0.000000
0.430000	-0.024600	0.000000
0.440000	-0.025600	0.000000
0.450000	-0.026300	0.000000
0.460000	-0.027300	0.000000
0.470000	-0.028500	0.000000
0.480000	-0.029300	0.000000
0.490000	-0.030500	0.000000
0.500000	-0.031200	0.000000
0.510000	-0.032100	0.000000
0.520000	-0.033400	0.000000
0.530000	-0.034600	1.250630
0.540000	-0.035500	1.250630
0.550000	-0.036400	0.000000
0.560000	-0.037500	0.000000
0.570000	-0.038400	0.000000
0.580000	-0.039400	0.000000
0.590000	-0.040500	0.000000
0.600000	-0.041500	0.000000
0.610000	-0.042300	0.000000
0.620000	-0.043400	0.000000
0.630000	-0.044400	1.250630
0.640000	-0.045600	1.250630
0.650000	-0.046500	1.250630
0.660000	-0.047400	0.000000
0.670000	-0.048300	0.000000
0.680000	-0.049200	1.250630
0.690000	-0.050500	1.250630
0.700000	-0.051600	1.250630
0.710000	-0.052600	1.250630
0.720000	-0.053500	0.000000
0.730000	-0.054400	-1.250630
0.740000	-0.055300	0.000000
0.750000	-0.056000	0.000000
0.760000	-0.056600	0.000000
0.770000	-0.058600	0.000000
0.780000	-0.060600	0.000000
0.790000	-0.060700	0.000000
0.800000	-0.061200	0.000000
0.810000	-0.062100	0.000000
0.820000	-0.063200	0.000000
0.830000	-0.064600	0.000000
0.840000	-0.065500	0.000000
0.850000	-0.066300	0.000000
0.860000	-0.067500	0.000000
0.870000	-0.068500	0.000000
0.880000	-0.069500	0.000000
0.890000	-0.070500	0.000000
0.900000	-0.071600	0.000000
0.910000	-0.072500	0.000000
0.920000	-0.073400	0.000000
0.930000	-0.074400	0.000000
0.940000	-0.075400	0.000000
0.950000	-0.076500	-1.250630
0.960000	-0.077400	-1.250630
0.970000	-0.078500	-1.250630
0.980000	-0.079500	0.000000
0.990000	-0.080400	0.000000
1.000000	-0.081400	0.000000
1.010000	-0.082400	0.000000
1.020000	-0.083500	0.000000
1.030000	-0.084600	0.000000
1.040000	-0.085600	0.000000
1.050000	-0.086400	0.000000
1.060000	-0.087400	1.250630
1.070000	-0.088600	1.250630
1.080000	-0.089600	1.250630
1.090000	-0.090400	0.000000
1.100000	-0.091400	0.000000
1.110000	-0.092400	0.000000
1.120000	-0.093500	-1.250630
1.130000	-0.094400	-1.250630
1.140000	-0.095400	-1.250630
1.150000	-0.096500	0.000000
1.160000	-0.097500	0.000000
1.170000	-0.098500	0.000000
1.180000	-0.099500	0.000000
1.190000	-0.100400	0.000000
1.200000	-0.101300	0.000000
1.210000	-0.102400	0.000000
1.220000	-0.103500	1.250630
1.230000	-0.104600	0.000000
1.240000	-0.105500	0.000000
1.250000	-0.106500	0.000000
1.260000	-0.107400	0.000000
1.270000	-0.108500	0.000000
1.280000	-0.109500	0.000000
1.290000	-0.110500	0.000000
1.300000	-0.111500	0.000000
1.310000	-0.112500	0.000000
1.320000	-0.113500	0.000000
1.330000	-0.114400	-1.250630
1.340000	-0.115400	-1.250630
1.350000	-0.116400	0.000000
1.360000	-0.117500	0.000000
1.370000	-0.118400	0.000000
1.380000	-0.119400	0.000000
1.390000	-0.120300	0.000000
1.400000	-0.121300	0.000000
1.410000	-0.122300	0.000000
1.420000	-0.123400	0.000000
1.430000	-0.124700	0.000000
1.440000	-0.125600	0.000000
1.450000	-0.126500	0.000000
1.460000	-0.127400	1.250630
1.470000	-0.128400	1.250630
1.480000	-0.129500	0.000000
1.490000	-0.130300	0.000000
1.500000	-0.131300	0.000000
1.510000	-0.132100	0.000000
1.520000	-0.132900	0.000000
1.530000	-0.134600	0.000000
1.540000	-0.135600	0.000000
1.550000	-0.136400	-1.250630
